natid,name,gender,birthday,salary,tax
713-7706274,Cortney Giacovazzo,M,16092002,39375,9293
113-6867809,Lynn Shelley,F,25111969,125883,18639
685-8861118,Kirsten Dimmock,F,01031968,181237,23666
999-9895846,Lula Benoy,M,29051987,148729,20052
216-0785771,Kristoffer Haw,M,23111971,83341,17848
610-4704946,Valentine Eate,M,01031966,127452,12091
913-2835773,Blondelle Roskruge,F,23061989,204530,5620
540-8988636,Garnette Halifax,F,19091950,216308,9009
994-2285455,Shannen Storey,M,09021988,139710,10047
239-1289479,Channa Ratcliffe,F,08071965,64050,12537
